TID 20251122183251 DR 10.00 | Bal: 170.00
TID 20251122183251 DR 10.00 | Bal: 160.00
TID 20251122183254 CR 50.00 | Bal: 210.00
TID 20251122183256 CR 800.00 | Bal: 1010.00
TID 20251122183258 DR 50.00 | Bal: 960.00
TID 20251122183258 DR 50.00 | Bal: 910.00
TID 20251122183300 CR 9006.00 | Bal: 9916.00
TID 20251122183302 DR 540.00 | Bal: 9376.00
TID 20251122183302 DR 540.00 | Bal: 8836.00
TID 20251122183737 CR 0.00 | Bal: 8836.00
TID 20251122183737 CR 0.00 | Bal: 8836.00
TID 20251122183737 CR 0.00 | Bal: 8836.00
TID 20251122183737 CR 0.00 | Bal: 8836.00
TID 20251122183737 CR 0.00 | Bal: 8836.00
TID 20251122183737 CR 0.00 | Bal: 8836.00
TID 20251122183737 CR 0.00 | Bal: 8836.00
TID 20251122183737 CR 0.00 | Bal: 8836.00
TID 20251122183737 CR 0.00 | Bal: 8836.00
TID 20251122183737 CR 0.00 | Bal: 8836.00
TID 20251122183737 CR 0.00 | Bal: 8836.00
TID 20251122183737 CR 0.00 | Bal: 8836.00
TID 20251122183737 CR 0.00 | Bal: 8836.00
TID 20251122183737 CR 0.00 | Bal: 8836.00
TID 20251122183737 CR 0.00 | Bal: 8836.00
TID 20251122183737 CR 0.00 | Bal: 8836.00
TID 20251122183737 CR 0.00 | Bal: 8836.00
TID 20251122183737 CR 0.00 | Bal: 8836.00
TID 20251122183737 CR 0.00 | Bal: 8836.00
TID 20251122183737 CR 0.00 | Bal: 8836.00
TID 20251122183737 CR 0.00 | Bal: 8836.00
TID 20251122183737 CR 0.00 | Bal: 8836.00
TID 20251122183737 CR 0.00 | Bal: 8836.00
TID 20251122183737 CR 0.00 | Bal: 8836.00
TID 20251122183737 CR 0.00 | Bal: 8836.00
TID 20251122183737 CR 0.00 | Bal: 8836.00
TID 20251122183737 CR 0.00 | Bal: 8836.00
TID 20251122183737 CR 0.00 | Bal: 8836.00
TID 20251122183737 CR 0.00 | Bal: 8836.00
TID 20251122183737 CR 0.00 | Bal: 8836.00
TID 20251122183737 CR 0.00 | Bal: 8836.00
TID 20251122183737 CR 0.00 | Bal: 8836.00
TID 20251122183737 CR 0.00 | Bal: 8836.00
TID 20251122183737 CR 0.00 | Bal: 8836.00
TID 20251122183737 CR 0.00 | Bal: 8836.00
TID 20251122183737 CR 0.00 | Bal: 8836.00
TID 20251122183737 CR 0.00 | Bal: 8836.00
TID 20251122183737 CR 0.00 | Bal: 8836.00
TID 20251122183737 CR 0.00 | Bal: 8836.00
TID 20251122183738 CR 0.00 | Bal: 8836.00
TID 20251122183738 CR 0.00 | Bal: 8836.00
TID 20251122183738 CR 0.00 | Bal: 8836.00
TID 20251122183738 CR 0.00 | Bal: 8836.00
TID 20251122183738 CR 0.00 | Bal: 8836.00
TID 20251122183738 CR 0.00 | Bal: 8836.00
TID 20251122183738 CR 0.00 | Bal: 8836.00
TID 20251122183738 CR 0.00 | Bal: 8836.00
TID 20251122183738 CR 0.00 | Bal: 8836.00
TID 20251122183738 CR 0.00 | Bal: 8836.00
TID 20251122183738 CR 0.00 | Bal: 8836.00
TID 20251122183738 CR 0.00 | Bal: 8836.00
TID 20251122183738 CR 0.00 | Bal: 8836.00
TID 20251122183738 CR 0.00 | Bal: 8836.00
TID 20251122183738 CR 0.00 | Bal: 8836.00
TID 20251122183738 CR 0.00 | Bal: 8836.00
TID 20251122183738 CR 0.00 | Bal: 8836.00
TID 20251122183738 CR 0.00 | Bal: 8836.00
TID 20251122183738 CR 0.00 | Bal: 8836.00
TID 20251122183738 CR 0.00 | Bal: 8836.00
TID 20251122183738 CR 0.00 | Bal: 8836.00
TID 20251122183738 CR 0.00 | Bal: 8836.00
TID 20251122183738 CR 0.00 | Bal: 8836.00
TID 20251122183738 CR 0.00 | Bal: 8836.00
TID 20251122183738 CR 0.00 | Bal: 8836.00
TID 20251122183738 CR 0.00 | Bal: 8836.00
TID 20251122183738 CR 0.00 | Bal: 8836.00
TID 20251122183738 CR 0.00 | Bal: 8836.00
TID 20251122183738 CR 0.00 | Bal: 8836.00
TID 20251122183738 CR 0.00 | Bal: 8836.00
TID 20251122183738 CR 0.00 | Bal: 8836.00
TID 20251122183738 CR 0.00 | Bal: 8836.00
TID 20251122183738 CR 0.00 | Bal: 8836.00
TID 20251122183738 CR 0.00 | Bal: 8836.00
TID 20251122183738 CR 0.00 | Bal: 8836.00
